model,prompt,d1_wow,d2_hierarchy,d3_typography,d4_color,d5_spacing,d6_responsive,d7_motion,d8_accesibilidad,d9_codigo,d10_adherencia,total_50
00-baseline,S,4,4,4,4,4,4,3,3,4,5,39
00-baseline,M,4,4,4,4,4,4,3,3,4,5,39
00-baseline,L,4,4,4,4,4,4,4,4,5,5,42
01-design-md,S,3,4,4,4,4,4,3,4,4,4,38
01-design-md,M,3,4,4,4,4,4,3,3,4,4,37
01-design-md,L,3,4,4,4,4,4,3,4,5,5,40
02-ui-ux-pro-max,S,4,4,4,4,4,4,4,4,4,5,41
02-ui-ux-pro-max,M,4,4,4,4,4,4,4,5,4,5,42
02-ui-ux-pro-max,L,4,5,4,5,4,4,4,4,5,5,44
03-impeccable,S,5,5,5,5,5,4,4,4,4,5,46
03-impeccable,M,5,5,5,5,5,4,4,4,4,5,46
03-impeccable,L,5,5,5,5,5,4,4,5,5,5,48
04-huashu-design,S,3,4,4,3,4,4,3,3,4,4,36
04-huashu-design,M,3,4,4,4,4,4,3,2,3,4,35
04-huashu-design,L,3,4,4,4,4,4,3,4,4,5,39
05-taste-skill,S,4,4,4,4,4,4,4,3,4,4,39
05-taste-skill,M,4,4,4,4,4,4,4,2,3,5,38
05-taste-skill,L,4,4,4,4,4,4,5,4,4,5,42
06-sesh-acid-pipeline,S,3,3,3,4,3,4,3,3,4,5,35
06-sesh-acid-pipeline,M,3,4,3,4,4,4,3,4,4,5,38
06-sesh-acid-pipeline,L,3,4,3,4,4,4,3,4,4,5,38
